"","ID","Population","Sex"
"265","JU177","Japanese","Male"
"266","JU178","Japanese","Male"
"267","JU179","Japanese","Male"
"268","JU180","Japanese","Male"
"269","JU181","Japanese","Male"
"270","JU182","Japanese","Male"
"271","JU183","Japanese","Male"
"272","JU184","Japanese","Male"
"273","JU185","Japanese","Male"
"274","JU186","Japanese","Male"
"275","JU187","Japanese","Male"
"276","JU188","Japanese","Male"
"277","JU189","Japanese","Male"
"278","YU001","Korean","Female"
"279","YU002","Korean","Male"
"280","YU003","Korean","Female"
"281","YU004","Korean","Male"
