ID,Xalarl,Yalarl,Zalarl,Xalarr,Yalarr,Zalarr,Xastl,Yastl,Zastl,Xastr,Yastr,Zastr,Xaubl,Yaubl,Zaubl,Xaubr,Yaubr,Zaubr,Xbas,Ybas,Zbas,Xbrg,Ybrg,Zbrg,Xdacl,Ydacl,Zdacl,Xdacr,Ydacr,Zdacr,Xectl,Yectl,Zectl,Xectr,Yectr,Zectr,Xeurl,Yeurl,Zeurl,Xeurr,Yeurr,Zeurr,Xfmal,Yfmal,Zfmal,Xfmar,Yfmar,Zfmar,Xfmtl,Yfmtl,Zfmtl,Xfmtr,Yfmtr,Zfmtr,Xglb,Yglb,Zglb,Xlam,Ylam,Zlam,Xnas,Ynas,Znas,Xnlhil,Ynlhil,Znlhil,Xnlhir,Ynlhir,Znlhir,Xobhi,Yobhi,Zobhi,Xobhs,Yobhs,Zobhs,Xops,Yops,Zops,Xporl,Yporl,Zporl,Xporr,Yporr,Zporr,Xstpl,Ystpl,Zstpl,Xstpr,Ystpr,Zstpr,Xwfbl,Ywfbl,Zwfbl,Xwfbr,Ywfbr,Zwfbr,Xwmhi,Ywmhi,Zwmhi,Xwmhs,Ywmhs,Zwmhs,Xxfbl,Yxfbl,Zxfbl,Xxfbr,Yxfbr,Zxfbr,Xzygool,Yzygool,Zzygool,Xzygoor,Yzygoor,Zzygoor
ID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38
YU001,-244.9994,152.962,114.5595,-250.5052,178.9061,111.6255,-110.8956,144.2727,156.4698,-133.7938,247.7634,142.5247,-162.2552,120.0037,145.7733,-188.3625,245.1934,126.3885,-166.0084,181.8941,113.5624,-201.571,193.6286,247.6677,-245.108,159.1734,145.6411,-249.4098,181.2796,143.3317,-226.7823,123.4078,142.7673,-246.8925,218.9921,129.3235,-155.162,122.205,207.2601,-170.7283,268.3579,178.7885,-230.1888,123.9481,155.4179,-250.2758,220.4725,141.3503,-225.2484,123.3493,159.9422,-245.5645,224.3193,144.9371,-258.7962,170.1933,162.9009,-83.1446,212.5105,206.7214,-254.4189,170.7285,153.8487,-243.0891,159.1366,101.3224,-245.0252,170.0336,100.0293,-236.7668,142.0734,127.4101,-241.8278,134.8237,163.4808,-129.6955,188.5749,112.1695,-154.2877,126.2346,143.338,-180.3805,241.631,125.218,-201.2101,128.5871,208.7538,-225.5533,244.9364,192.6286,-234.2075,129.9174,176.4927,-252.5573,219.8316,162.8835,-219.015,129.9206,113.5053,-232.7788,131.6466,128.2932,-202.9718,125.2651,196.8053,-229.6743,241.1564,175.2186,-235.8112,138.3196,126.6744,-248.3158,198.3759,117.9072
YU002,-246.605,150.5193,103.9172,-247.5068,165.3168,88.1261,-112.9927,139.0331,158.7724,-135.1878,247.2754,142.4329,-160.7693,119.7269,144.9477,-186.0383,244.0816,125.5755,-164.5376,178.8145,107.2293,-205.5403,192.3828,242.16,-247.5129,158.794,140.8806,-250.3439,179.7809,136.2481,-232.6745,120.3047,141.1873,-248.9818,216.6828,124.1813,-154.5997,116.5316,184.9573,-182.8323,260.7036,161.6566,-236.1586,122.699,153.1679,-251.9915,218.7362,137.7897,-234.0481,119.4663,159.8955,-252.8892,222.7311,142.6884,-262.981,167.4131,156.3401,-94.7533,200.9025,211.2837,-260.2493,168.2048,149.206,-251.0611,175.3606,99.1021,-246.7627,156.5084,89.754,-240.566,140.0496,124.6119,-246.4353,132.705,159.3922,-126.3606,184.8562,114.0661,-157.4464,124.5105,141.3584,-179.9192,238.6502,122.6136,-209.9893,126.2448,210.0234,-230.6372,241.6557,194.1374,-240.2852,124.7261,171.4712,-257.7826,219.1387,156.0573,-227.9135,123.4447,105.9006,-238.2889,127.0225,127.6496,-212.373,118.2552,191.031,-233.5667,241.1891,171.4035,-241.1221,143.4726,124.7766,-249.6509,189.7004,116.5305
YU003,-257.1175,158.5252,107.7421,-259.8649,183.5315,102.0014,-131.2954,141.604,145.4933,-132.9248,243.3221,131.9421,-176.8849,131.573,139.6508,-194.7003,239.984,120.2055,-178.1482,184.3448,111.21,-207.9233,202.5841,240.9481,-258.5928,168.3265,141.3327,-259.4778,186.9517,137.1508,-246.2329,131.3537,144.8017,-254.8859,224.5744,128.6411,-154.5277,131.1244,198.5456,-164.0483,269.0923,174.6246,-248.2198,134.4144,157.0445,-257.1943,225.5168,142.4506,-243.5543,133.3602,161.9134,-253.4439,228.8271,145.7863,-271.2958,179.6902,162.4953,-108.228,211.8906,205.0318,-266.4753,178.3617,145.9921,-256.3614,163.5742,101.0726,-257.1797,178.7215,99.5119,-256.4023,147.655,127.8806,-257.388,144.4843,162.8723,-144.3654,187.8629,109.3375,-173.0287,133.2247,138.3139,-187.2528,240.3998,120.9543,-219.2063,141.63,202.8744,-230.7413,243.5543,183.2784,-248.7963,140.2033,175.3026,-256.811,226.7374,157.9742,-241.4755,130.4206,112.1327,-253.5631,135.4821,131.4192,-222.245,138.5245,196.7771,-232.3212,243.4133,177.4394,-255.8282,144.5881,127.6685,-262.0569,202.7379,118.4338
YU004,-261.7389,153.9654,113.7629,-266.4803,177.5188,109.1698,-132.7886,139.9471,151.7717,-146.4708,246.0479,126.2672,-188.103,120.8561,141.4635,-203.5578,242.3035,122.2524,-186.2022,179.8341,107.4903,-209.7344,194.4969,240.8812,-260.578,165.324,148.8889,-263.7461,182.9334,146.6258,-247.2867,127.1379,147.2781,-260.4036,220.3737,130.5847,-165.6987,121.1236,183.6712,-186.5123,262.0212,162.3537,-249.3715,129.2586,159.1853,-260.5694,222.9233,143.4526,-244.1764,126.8209,164.0279,-256.9933,226.972,148.4841,-271.0873,176.7396,167.5075,-113.497,205.194,197.8257,-270.4889,175.4538,155.6468,-262.3061,158.3121,101.3278,-264.3219,170.6988,99.6631,-258.1727,145.8014,132.4003,-258.7113,140.7484,167.8444,-151.4179,184.7198,110.9702,-178.9761,124.2942,139.4479,-192.9189,240.4225,122.0691,-216.7666,133.7058,212.0002,-229.9009,242.379,195.7132,-250.5426,134.3279,179.3366,-260.5277,224.017,164.9857,-241.77,126.2247,112.8344,-254.4569,131.9544,133.8275,-218.9088,129.4613,202.0396,-233.8397,241.9454,185.4039,-258.2625,147.0663,132.3445,-266.2911,193.8625,125.666
CU082,-247.8662,170.7096,128.799,-253.4767,197.4848,121.6301,-111.6617,159.2335,161.3079,-126.3838,256.9543,129.317,-165.5044,142.0265,160.287,-183.7677,258.5251,125.4976,-168.3183,196.1375,112.9097,-198.8564,229.6773,255.9167,-243.3999,181.905,160.0678,-248.7197,205.5328,153.6324,-228.8023,144.8734,165.9627,-244.485,242.3079,137.2034,-158.5807,148.5894,221.2666,-172.4292,288.2191,174.3472,-230.6105,147.321,175.3661,-246.1562,244.7155,145.5148,-224.6173,145.3885,180.7995,-241.1817,250.4939,150.4377,-256.7895,195.3733,172.3919,-90.2966,230.6037,207.516,-253.8474,195.4816,166.5796,-248.948,175.2409,115.816,-250.9683,186.9957,113.322,-242.3697,162.3637,149.0235,-242.7972,159.4951,181.1001,-134.2266,199.0696,116.906,-160.8744,145.7578,158.0296,-175.5798,255.7154,124.0169,-198.9039,153.465,228.4049,-215.8371,278.0472,191.5423,-229.5954,151.2617,192.8308,-246.2212,250.3721,163.4618,-225.9231,139.4257,127.4181,-237.4398,147.2817,150.853,-199.5128,150.1557,219.5648,-216.3285,277.1011,185.676,-242.183,160.9613,149.2916,-251.5465,215.863,134.3447
CU085,-258.3234,211.844,123.5904,-255.8499,240.6216,118.9048,-125.7759,165.0655,154.2509,-117.2208,269.6886,139.4872,-183.7514,159.4686,145.51,-171.0867,283.1599,129.4306,-169.368,216.1901,111.78,-184.1119,237.151,253.9943,-250.6844,221.0357,157.1186,-248.1351,241.0899,152.8323,-248.5631,181.6172,152.9052,-238.9866,276.2767,138.7686,-162.905,158.7797,201.1897,-152.0129,297.1187,177.7932,-248.3149,184.3755,167.0629,-237.9671,277.5713,151.2078,-245.2154,180.4791,173.1733,-234.7377,282.0296,156.7845,-260.8063,235.2442,175.0417,-90.963,224.3392,202.351,-259.0207,232.9506,162.4482,-258.0489,218.5075,113.1546,-257.9565,230.1206,109.9772,-254.6984,200.6147,139.0761,-254.6682,197.5948,174.5943,-132.6608,213.5579,109.5209,-173.2753,164.3334,140.1155,-162.7696,277.8981,125.9757,-209.1078,181.058,221.877,-199.4096,292.5162,207.0529,-245.7377,189.8438,188.6203,-237.208,279.2207,173.8121,-243.8703,181.5514,117.8929,-253.6806,186.3894,142.793,-210.5187,176.9154,211.2082,-199.7313,293.0838,192.8688,-254.8759,198.8566,138.875,-248.9314,258.3701,129.7155
CU093,-253.7115,157.3404,110.9702,-258.0746,183.0667,105.8613,-122.4363,144.1082,158.6742,-136.1896,243.2351,141.6133,-175.2139,124.338,142.7946,-190.1101,242.4634,123.497,-166.766,182.7507,110.2013,-204.9663,196.1908,236.1359,-253.931,164.2718,141.8923,-256.8503,185.2361,137.2489,-237.489,127.6682,143.3645,-250.0072,222.4226,126.5332,-154.1363,129.4494,200.2021,-171.9534,263.8736,185.1069,-240.0732,131.1434,154.4996,-252.3621,223.1448,138.6882,-236.4432,127.9548,159.1885,-250.0523,227.5251,141.8153,-263.9726,176.24,159.53,-106.736,206.2984,202.1819,-261.1039,175.3456,148.3616,-253.7543,162.5912,99.1896,-255.4006,175.8617,97.7009,-249.7671,146.7119,127.6881,-250.6728,142.216,161.6276,-132.0676,188.3224,112.2401,-166.128,128.6956,139.0503,-181.8717,238.276,121.9793,-210.8127,135.3076,204.2774,-227.2445,242.8036,188.9371,-243.4631,137.5223,174.7074,-255.1895,222.4235,162.6434,-233.0215,130.0229,108.5654,-244.6254,132.7424,129.36,-213.6425,133.3559,195.8273,-229.3815,241.946,179.3065,-248.8265,144.1789,127.2264,-256.343,200.7182,116.5055
CU090,-238.4678,193.6469,104.0139,-240.3855,221.6372,98.9811,-111.374,173.4949,152.0753,-116.4687,279.8392,137.6899,-166.5271,160.0288,142.4096,-176.4282,279.6184,125.5443,-155.5482,216.8748,104.5315,-194.9446,228.3614,246.0896,-240.48,204.0446,139.2687,-242.2444,222.2186,136.6067,-231.1985,166.0811,139.6775,-238.4133,260.1543,125.2305,-158.3887,159.8085,189.6873,-166.323,293.0805,172.1472,-234.5103,167.936,150.8894,-240.7778,260.7663,137.6241,-232.8098,165.473,157.4626,-240.0604,264.819,144.1649,-255.6185,213.8917,157.1066,-86.185,234.8105,207.0038,-250.6277,213.406,145.4422,-239.2578,199.904,94.8714,-239.2682,212.2568,92.3412,-237.7473,184.9302,123.9061,-243.7646,179.9874,158.6542,-120.5574,223.1343,111.3612,-159.2681,163.71,140.7429,-166.6271,276.8076,123.9454,-203.1571,180.0092,223.1406,-209.6094,271.9012,210.0173,-238.261,174.9676,173.7219,-244.5433,259.1531,163.5216,-222.8963,168.8139,104.0147,-235.3183,174.0851,125.9933,-209.3888,165.5142,190.159,-213.355,277.2247,177.9797,-236.9474,181.7442,123.7425,-240.7342,240.7554,114.4881
CU091,-246.3335,193.4949,111.6908,-250.4944,218.6778,107.3757,-101.19,177.2341,149.6271,-125.2176,287.5105,141.2495,-160.7856,154.9928,142.3451,-179.6366,286.0277,124.5817,-162.8889,222.5673,108.616,-182.9186,234.5914,253.6681,-240.9078,201.2917,149.9,-244.8228,222.3098,147.9715,-228.5139,162.8293,147.8175,-246.0064,260.1314,134.5332,-145.6116,153.0492,187.0948,-167.2426,304.5919,162.5112,-230.3504,164.8135,162.6926,-246.0941,262.4904,148.4683,-224.5048,161.4984,167.3822,-245.0013,267.652,155.8335,-252.6894,212.4253,171.1017,-81.6134,241.7343,202.1844,-250.3209,211.4787,158.0474,-247.5265,199.8531,101.2389,-248.9579,210.959,99.4212,-241.4256,182.4659,135.414,-239.1824,176.8425,171.5071,-126.827,227.4783,110.9783,-152.0803,161.8528,137.8486,-171.148,280.9598,122.1359,-193.0168,166.3564,223.9274,-216.4223,288.5092,205.5496,-230.0273,166.5127,179.1448,-247.6417,264.8268,165.4541,-226.4277,161.0996,107.9106,-235.7316,168.3353,137.2123,-196.9295,160.261,203.0092,-215.5043,287.671,187.2341,-241.5893,182.6168,135.2904,-249.7786,234.5015,128.3203
